t,y
0.0,5.3264057950428504e-05
0.001,0.03770837801273973
0.002,0.07536097188300533
0.003,0.11286233023241632
0.004,0.15026662712338715
0.005,0.18740602094955483
0.006,0.22433527152914873
0.007,0.26087612279975236
0.008,0.2970823494398166
0.009000000000000001,0.33286696306818897
0.01,0.368187814624733
0.011,0.40294380853507705
0.012,0.43719472288299954
0.013000000000000001,0.4707808300269005
0.014,0.5036609238026518
0.015,0.5358691448867666
0.016,0.5673427171105848
0.017,0.5979729828573531
0.018000000000000002,0.6277297474571842
0.019,0.6565918292370724
0.02,0.6846304869204263
0.021,0.711583258159095
0.022,0.7375567742825941
0.023,0.7625225796724082
0.024,0.7863414100745019
0.025,0.8090592858020064
0.026000000000000002,0.8306237745534008
0.027,0.8510711761589932
0.028,0.8702534413006774
0.029,0.8881393715235681
0.03,0.9048516619034344
0.031,0.9202922559063557
0.032,0.934382688021872
0.033,0.9471445345968711
0.034,0.9585669561046576
0.035,0.9686568828290283
0.036000000000000004,0.9773096562610295
0.037,0.9846100392695091
0.038,0.9905345084969592
0.039,0.9949969321299185
0.04,0.9980575241760166
0.041,0.9996962277296765
0.042,0.9999697601322808
0.043000000000000003,0.9988045816148234
0.044,0.9961523870875252
0.045,0.9921889532763071
0.046,0.9867198667979936
0.047,0.979855187822367
0.048,0.9716874229765115
0.049,0.9620322268398768
0.05,0.9510980164883461
0.051000000000000004,0.9387869469643138
0.052000000000000005,0.9251556437862799
0.053,0.9101312817421453
0.054,0.8938888417928682
0.055,0.8763716157958876
0.056,0.8575705384659598
0.057,0.8375472787115024
0.058,0.8163951767973161
0.059000000000000004,0.7940739256517878
0.06,0.7705492470448913
0.061,0.7459954704830389
0.062,0.720355536919936
0.063,0.6937067806495628
0.064,0.6660592279363385
0.065,0.6374589160811153
0.066,0.6079773127315684
0.067,0.5776318217101598
0.068,0.5464647681566847
0.069,0.5144871035850961
0.07,0.4817996666742901
0.07100000000000001,0.44846270568976815
0.07200000000000001,0.4144329920393308
0.073,0.379801396113809
0.074,0.3447113919790106
0.075,0.3090811847693875
0.076,0.27301279075436685
0.077,0.2365476221271336
0.078,0.19972324603377298
0.079,0.16263844463648072
0.08,0.12539797462905486
0.081,0.08788776247377734
0.082,0.050315994040395995
0.083,0.012619463535296705
0.084,-0.025082838198939385
0.085,-0.06273358764856385
0.08600000000000001,-0.10029794272268291
0.08700000000000001,-0.13777186514849663
0.088,-0.17500832900265517
0.089,-0.21198029687667105
0.09,-0.2486456536733634
0.091,-0.284969932038805
0.092,-0.3208673035076637
0.093,-0.3563841745985924
0.094,-0.3913238379635752
0.095,-0.42570690847770554
0.096,-0.4595065807123637
0.097,-0.4926483072930111
0.098,-0.5251172539088842
0.099,-0.556795042638369
0.1,-0.587750049871226
0.101,-0.6178289831307258
0.10200000000000001,-0.6470067931127457
